// Core Project Space
[Puzzle 1]
1|2|3|4|5|6|7|8
3|4|5|6|7|8|1|2
5|6|7|8|1|2|3|4
7|8|1|2|3|4|5|6
2|1|4|3|6|5|8|7
4|3|6|5|8|7|2|1
6|5|8|7|2|1|4|3
8|7|2|1|4|3|6|5
//=============
5|6|7|8|1|2|3|4
7|8|1|2|3|4|5|6
1|2|3|4|5|6|7|8
3|4|5|6|7|8|1|2
6|5|8|7|2|1|4|3
8|7|2|1|4|3|6|5
2|1|4|3|6|5|8|7
4|3|6|5|8|7|2|1
//=============
3|4|5|6|7|8|1|2
1|2|3|4|5|6|7|8
7|8|1|2|3|4|5|6
5|6|7|8|1|2|3|4
4|3|6|5|8|7|2|1
2|1|4|3|6|5|8|7
8|7|2|1|4|3|6|5
6|5|8|7|2|1|4|3
//=============
7|8|1|2|3|4|5|6
5|6|7|8|1|2|3|4
3|4|5|6|7|8|1|2
1|2|3|4|5|6|7|8
8|7|2|1|4|3|6|5
6|5|8|7|2|1|4|3
4|3|6|5|8|7|2|1
2|1|4|3|6|5|8|7
//=============
2|1|4|3|6|5|8|7
4|3|6|5|8|7|2|1
6|5|8|7|2|1|4|3
8|7|2|1|4|3|6|5
1|2|3|4|5|6|7|8
3|4|5|6|7|8|1|2
5|6|7|8|1|2|3|4
7|8|1|2|3|4|5|6
//=============
6|5|8|7|2|1|4|3
8|7|2|1|4|3|6|5
2|1|4|3|6|5|8|7
4|3|6|5|8|7|2|1
5|6|7|8|1|2|3|4
7|8|1|2|3|4|5|6
1|2|3|4|5|6|7|8
3|4|5|6|7|8|1|2
//=============
4|3|6|5|8|7|2|1
2|1|4|3|6|5|8|7
8|7|2|1|4|3|6|5
6|5|8|7|2|1|4|3
3|4|5|6|7|8|1|2
1|2|3|4|5|6|7|8
7|8|1|2|3|4|5|6
5|6|7|8|1|2|3|4
//=============
8|7|2|1|4|3|6|5
6|5|8|7|2|1|4|3
4|3|6|5|8|7|2|1
2|1|4|3|6|5|8|7
7|8|1|2|3|4|5|6
5|6|7|8|1|2|3|4
3|4|5|6|7|8|1|2
1|2|3|4|5|6|7|8
// End Puzzle 1
